Salary Age_Indicator
1647.21697020072 1
1556.40561760635 1
1497.95031111452 1
1412.36937723095 1
1370.02782576572 1
1566.41544950714 1
1356.96151976151 1
1323.01955610104 1
1419.48681121189 1
1303.36271976423 1
1451.37711377097 1
1429.57456462689 1
1564.75889966643 1
1457.47652747269 1
1420.8527834599 1
1411.60819332028 1
1524.12215454916 1
1284.87486101298 1
1325.66091551031 1
1193.43400896667 1
1308.91488065485 1
1428.16829111194 1
1395.0827971394 1
1369.58902978694 1
1355.22767964736 1
1344.35537187811 1
1345.08534491825 1
1463.18830990708 1
1417.71288886537 1
1440.96469515023 1
1549.92083014748 1
1376.41629762466 1
1545.98334420354 1
1413.27035679336 1
1286.91845081356 1
1466.18568481211 1
1241.15463278846 1
1414.65677506151 1
1152.46792931403 1
1473.00381624833 1
1626.68144668509 1
1500.63968559563 1
1309.88378433055 1
1261.36784120009 1
1437.6371908859 1
1545.78600278845 1
1386.14090708642 1
1248.74849645219 1
1521.04293225407 1
1373.53254959219 1
1558.22806278928 1
1361.53330823515 1
1602.25657335043 1
1285.15748049283 1
1264.60451346796 1
1299.52271946756 1
1379.2345375236 1
1490.19467220516 1
1456.50824101203 1
1251.04524863923 1
1441.95749263979 1
1338.64195452298 1
1393.66753015847 1
1462.77792201009 1
1454.3306657558 1
1543.09786987084 1
1386.50973129466 1
1345.68473604535 1
1370.01128039954 1
1475.59298910807 1
1371.92849115371 1
1312.56476241295 1
1393.0802753131 1
1339.05431875047 1
1468.97044079547 1
1480.94647250128 1
1453.93429734358 1
1339.20705871345 1
1421.92188782793 1
1435.81267515649 1
1242.34358451051 1
1436.67492411812 1
1345.99319495892 1
1335.90808114021 1
1423.16115354175 1
1539.63361566605 1
1451.16209095299 1
1444.27605228147 1
1628.25292050025 1
1423.48054925925 1
1614.45483971142 1
1421.02263549054 1
1418.94989179279 1
1386.46307232917 1
1581.77733296004 1
1533.47030291619 1
1500.72993414651 1
1482.9026028964 1
1314.40542411002 1
1405.81968280243 1
1370.44044767244 1
